n,n_nonzero,win_rate,mean_delta,median_delta,ci_lo,ci_hi,W,p,rank_biserial,interpretation,family,comparison,model_a,model_b,metric,metric_label,claim,holm_p
40,40,20/40,-0.0018618117450288608,-0.0001721528097021613,-0.002830898753019978,0.001622281548784077,341.0,0.3611039877814619,-0.16829268292682928,non-significant & negligible,A_ablation,C_full vs C_-K,C_full,C_-K,valid_map_avg,MAP$_{\text{avg}}$,Knowledge coupling useful?,0.3611039877814619
40,40,23/40,0.00379478963164014,0.003542632568904955,-0.0012173621764527964,0.005499509337352465,258.0,0.04080139504367253,0.37073170731707317,non-significant & negligible,A_ablation,C_-K vs C_-KP,C_-K,C_-KP,valid_map_avg,MAP$_{\text{avg}}$,Herb-pair view useful?,0.08160279008734506
40,40,34/40,0.007437149127195486,0.006930817019420457,0.005371422702459203,0.00813490371472686,113.0,2.2706761228619143e-05,0.724390243902439,significant (A better),A_ablation,C_graph vs C_-KP,C_graph,C_-KP,valid_map_avg,MAP$_{\text{avg}}$,L1 harmful (MAP)?,9.082704491447657e-05
40,40,33/40,0.00776003511473815,0.008991952915385681,0.005041541711178876,0.014824087174215378,140.0,0.00014978252875152975,0.6585365853658537,significant (A better),A_ablation,C_graph vs C_-KP,C_graph,C_-KP,herb2sym_map,H$\to$S MAP,L1 harmful (H→S)?,0.00044934758625458926
40,40,8/40,-0.004771165673042689,-0.0040704029129926406,-0.005320339881378547,-0.0022215294529921437,73.0,7.137441571103409e-07,-0.8219512195121951,stat. significant but negligible,A_ablation,C_graph vs C_min,C_graph,C_min,valid_map_avg,MAP$_{\text{avg}}$,Graph improves ranking?,3.5687207855517045e-06
40,40,40/40,4.101617441637507,4.05409424855722,3.516587811031208,4.587941575094707,0.0,1.8189894035458565e-12,1.0,significant (A better),A_ablation,C_graph vs C_min,C_graph,C_min,symptom_pred_ppl_em_prob,Sym PPL,Graph improves Sym PPL?,1.6370904631912708e-11
40,40,39/40,4.492543723908613,4.328159482026578,3.1347932456141905,5.459136967205708,1.0,3.637978807091713e-12,0.9975609756097561,stat. significant but negligible,A_ablation,C_graph vs C_min,C_graph,C_min,herb_pred_ppl_em_prob,Herb PPL,Graph improves Herb PPL?,2.546585164964199e-11
40,40,1/40,-0.028738901931865894,-0.02566185260463484,-0.0391843093289105,-0.017878440971253365,5.0,1.8189894035458565e-11,-0.9878048780487805,significant (B better),A_ablation,C_herb vs C_graph,C_herb,C_graph,valid_map_avg,MAP$_{\text{avg}}$,Unilateral graph destabilizing?,1.0913936421275139e-10
40,40,0/40,-0.033510067604908586,-0.03069593932832379,-0.04592416940587256,-0.023231234008265156,0.0,1.8189894035458565e-12,-1.0,significant (B better),A_ablation,C_herb vs C_min,C_herb,C_min,valid_map_avg,MAP$_{\text{avg}}$,Herb-only graph vs minimal?,1.6370904631912708e-11
