3,673
9,372
9,524
16,608
17,97
17,119
17,151
17,186
17,193
17,306
17,312
17,382
17,383
17,384
17,398
17,413
33,38
38,608
39,608
40,608
41,608
56,608
80,97
80,119
80,151
80,186
80,193
80,306
80,312
80,361
80,382
80,383
80,384
80,398
80,413
81,97
81,119
81,151
81,186
81,193
81,306
81,312
81,361
81,382
81,383
81,384
81,398
81,413
87,608
97,181
97,560
97,703
103,608
119,181
119,560
119,703
134,342
134,388
151,181
151,560
151,703
181,186
181,193
181,306
181,312
181,361
181,382
181,383
181,384
181,398
181,413
186,560
186,703
188,360
189,360
193,560
193,703
258,655
259,655
292,673
302,608
306,560
306,703
312,560
312,703
320,342
320,388
342,389
342,480
342,533
361,560
361,703
371,608
372,445
382,560
382,703
383,560
383,703
384,560
384,703
388,389
388,480
388,533
398,560
398,703
407,608
413,560
413,703
445,524
486,608
506,655
522,608
547,608
608,640
608,656
