一枝黄花,满山草,百根草,蛇头王,黄花草
一点红,叶下红,红背叶,羊蹄草
丁公藤,麻辣子
三七,人参三七,田七,盘龙七,金不换
三白草,五路叶白,塘边藕,白花莲
丝瓜络,丝瓜布,丝瓜筋
丹参,甘肃丹参,甘西鼠尾,紫丹参,红根,红秦艽,血参,血生根,赤参
五加皮,三叶五加,五皮风,五花,刺三甲,南五加皮,小五爪风,白勒,细柱五加,鸡脚风,鹅掌楸
五味子,乌梅子,山花椒,软枣子
人参,土精,地精,山参,神草
仙鹤草,狼芽草,瓜香草,老牛筋,脱力草
何首乌,夜交藤根,山首乌,药首乌,赤首乌
佩兰,大泽兰,小泽兰,香草,鸡骨香
使君子,留球子,索子果
侧柏叶,扁柏,片松,片柏,香柏
党参,单枝党参,天宁党参,巫山党参,晶党参,汶党参,潞党参,球花党参
八角茴香,八月珠,八角,大茴香
关木通,万年藤,淮木通,马木通
冬瓜皮,白皮
冬虫夏草,冬虫草,夏草冬虫,虫草
决明子,假绿豆,草决明,马蹄决明
凌霄花,上树蜈蚣花,倒挂金钟,凌霄,紫葳花,美洲凌霄
刀豆,刀鞘豆,大刀豆,挟剑豆
列当,独根草,草苁蓉
化橘红,化州橘红,柚子皮,柚皮橘红
北沙参,海沙参,莱阳参,辽沙参,银沙参
北豆根,蝙蝠藤,野豆根,黄条香
千年健,一包针,千年见,千颗针
千里光,九岭光,九里明,九龙光,黄花母
千金子,小巴豆,续随子
升麻,关升麻,兴安升麻,北升麻,大三叶升麻,窟窿牙根,虻牛卡根,龙眼根
半夏,三叶半夏,三步跳,麻芋子
半枝莲,并头草,牙刷草,狭叶韩信草
南沙参,三叶沙参,山沙参,龙须沙参
厚朴,油朴,赤朴,重皮
合欢花,夜合树,绒花树,鸟绒树
吴茱萸,伏辣子,曲药子,臭泡子,茶辣
商陆,山萝卜,当陆,水萝卜
四季青,大叶冬青,红冬青
土茯苓,冷饭团,硬饭头,红土芩
土荆皮,土槿皮,荆树皮,金钱松皮
地骨皮,地节,杞根,狗奶子棍,红月附根
壁虎,守宫
夏枯草,棒柱头草,灯笼头草
大枣,小枣,红枣
大蓟,将军草,牛口刺,马刺草
大风子,麻风子
天仙子,牙痛子,莨菪子
天仙藤,青木香藤,马兜铃藤
天冬,万岁藤根,大当门根,天门冬,浣草根,老虎尾巴根
天葵子,夏无踪,紫背天葵
天麻,明天麻,白龙草,赤箭根
太子参,四叶参,四叶菜,童参,米参
女贞子,冬青子,虫树,蜡树
威灵仙,棉团铁线莲,铁扫帚,铁脚威灵仙,青龙须
密蒙花,水锦花,老蒙花,虫见死,黄饭花
寻骨风,毛香,猴耳草,绵毛马兜铃,黄木香
小茴香,谷茴,谷茴香
小蓟,刺菜,小刺盖,野红花
山楂,北山楂,南山楂,小叶山楂,棠棣,红果,红果子,绿梨,野山楂
山茱萸,山萸肉,枣皮,药枣
山药,山菇,怀山药,淮山药
山豆根,小黄连,广豆根
川乌,五毒,铁花,鹅儿花
川楝子,金铃子
川贝母,乌花贝母,暗紫贝母,松贝母
巴戟天,三角藤,鸡眼藤,鸡肠风
巴豆,巴仁,巴果,江子,红子仁
常山,南常山,白常山,鸡骨常山
干姜,均姜,干生姜,白姜
广金钱草,假花生,山地豆,落地金钱草
当归,云归,岷当归,秦归,西当归
徐长卿,寥刁竹,竹叶细辛
急性子,指甲花
旋覆花,小黄花子,金佛花,金福花
昆布,江白菜
月季花,月季,月月开,月月红
木瓜,光皮木瓜,冥楂,土木瓜,宣木瓜,皱皮木瓜,红木瓜,贴梗海棠
木鳖子,木鳖,漏苓子,藤桐子
杜仲,丝棉皮,思仲,扯丝皮,玉丝皮
杠板归,梨头刺,河白草,蛇不过,蛇倒退
松花粉,短叶松
板蓝根,土龙根,大蓝根,大青根,马蓝根
枇杷叶,卢橘,芦桔叶
枳实,枸头橙,臭橙,香橙
枸杞子,山枸杞,白刺,白疙针,西枸杞
柴胡,南柴胡,地熏,小柴胡,山菜,柴草,狭叶柴胡,红柴胡,茈胡,茹草,香柴胡
柿蒂,柿丁,柿子把,柿萼,柿钱
栀子,大红桅,山枝子,黄栀子
核桃仁,胡桃仁
桃仁,大桃仁,扁桃仁,毛桃仁
桑叶,神仙叶,铁扇子
桑寄生,寄生,广寄生,老式寄生
桑椹,桑椹子
桔梗,土人参,白药,铃当花
梅花,合汉梅,酸梅,黄仔
椿皮,椿根皮,椿白皮
楮实子,彀木子,纱纸树
榧子,木榧,榧,玉榧,野极子,香榧
槟榔,国马,宾门,榔玉,橄榄子,青仔
檀香,旃檀,白檀
毛冬青,山冬青,毛披树,细叶冬青
水红花子,水荭草子,蓼实子
水飞蓟,奶蓟,水飞雉,老鼠勒
沉香,土沉香
沙棘,沙枣,醋柳果
沙苑子,沙苑蒺藜,潼蒺藜
泽兰,地瓜儿苗,地石蚕,地笋,蛇王草
洋金花,南洋金花,醉仙桃花,风茄花
海桐皮,椿椒,浙桐皮,鼓钉树
海金沙,左转藤,铁线藤
淡竹叶,山鸡米,竹麦冬,长竹叶
淫羊藿,三枝九叶草,仙灵脾,羊合叶
满山红,毛猴子,莓叶委陵菜,菜飘子,雉子筵
漏芦,和尚头花,独花山牛蒡
火麻仁,大麻仁,麻仁,麻子
灯心草,水灯心,灯草,野席草,龙须草
灵芝,万年蕈,木灵芝,灵芝草,红芝,菌灵芝,赤芝
爵床,小青草,野万年青
牛膝,土牛膝,对节草,怀牛膝
牛蒡子,大力子,恶实,牛子,鼠粘子
