"K","variant","seed","status","valid_map_avg","sym2herb_map","herb2sym_map","symptom_pred_ppl_em_prob","herb_pred_ppl_em_prob","topic_coherence"
"5","gnmf_graph","42","done","0.23511695550205974","0.22162874873374708","0.24860516227037238","74.14908489674276","161.94014880980714","0.6776228822920792"
"5","gnmf_graph","43","done","0.24014282608498755","0.22297460758191143","0.25731104458806364","73.15106023572649","157.19575084430792","0.6425969230450861"
"5","gnmf_graph","44","done","0.22870412405635043","0.21808959751517643","0.23931865059752444","77.84639379339451","162.0236808926202","0.6369978650754792"
"5","gnmf_graph","45","done","0.24302491873549925","0.22977626220218142","0.2562735752688171","73.88806745356635","158.24142575361924","0.6621352759744289"
"5","gnmf_graph","46","done","0.2337313832405109","0.21828057073528045","0.24918219574574133","73.93978567582857","164.8151843521217","0.6626295543298631"
"5","indep_nmf_procrustes_bridge","42","done","0.20513927218166642","0.2020175882263106","0.20826095613702222","80.41266629539543","167.04226319955922","0.930237116070453"
"5","indep_nmf_procrustes_bridge","43","done","0.2056715754356916","0.19819376546745618","0.21314938540392703","80.67951120684616","162.02696681647114","0.9281209670167719"
"5","indep_nmf_procrustes_bridge","44","done","0.19900657698169655","0.19583646039428126","0.2021766935691118","83.19911551605409","167.21342474297387","0.9297314064034436"
"5","indep_nmf_procrustes_bridge","45","done","0.20540787726489917","0.2063595963062803","0.20445615822351804","80.33228234877728","164.17458174035033","0.9304573577224102"
"5","indep_nmf_procrustes_bridge","46","done","0.19525295482489646","0.18853320408291688","0.20197270556687602","82.48314771577913","173.0128897619856","0.9004663298058034"
"5","recon_only_mvgsnmf","42","skipped_completed","0.22389329983285516","0.2117151200835992","0.2360714795821111","77.26727255272803","165.37566516492328","0.5255382779998777"
"5","recon_only_mvgsnmf","43","skipped_completed","0.22473509768439645","0.2082360552715992","0.2412341400971937","77.54885610735195","161.11707236055977","0.5191399428247617"
"5","recon_only_mvgsnmf","44","skipped_completed","0.21741982416950456","0.20854614707945626","0.22629350125955286","80.33355066932327","165.87932128899973","0.5515222350293312"
"5","recon_only_mvgsnmf","45","skipped_completed","0.2328829799813173","0.22135793311403712","0.24440802684859744","75.91383906778665","161.68439693952553","0.5760353679654202"
"5","recon_only_mvgsnmf","46","skipped_completed","0.22089013035699895","0.20669227664303697","0.23508798407096096","76.82750285393249","168.51295560352236","0.507229137831428"
"5","sparse_nmf_l1","42","done","0.22258724845847763","0.21045177285225233","0.23472272406470293","77.50098245178813","164.0427311549452","0.6734704213236434"
"5","sparse_nmf_l1","43","done","0.22934700814012482","0.2117809562999564","0.24691305998029323","75.86909755477838","159.33856743867986","0.6595925558351555"
"5","sparse_nmf_l1","44","done","0.21594306971259716","0.20649454016161015","0.22539159926358418","81.27641494859917","164.46333247142604","0.6536732394426538"
"5","sparse_nmf_l1","45","done","0.23045656876346482","0.21911080650725506","0.24180233101967455","77.27273383381922","160.38498884379345","0.662135275974429"
"5","sparse_nmf_l1","46","done","0.22161064502837652","0.20685428737035494","0.23636700268639813","77.2972059691997","167.00910177372492","0.6626295543298633"
"5","vanilla_nmf_fro","42","skipped_completed","0.23483755750632898","0.22156481263878203","0.24811030237387594","","","0.6776228822920792"
"5","vanilla_nmf_fro","43","skipped_completed","0.23947481182943928","0.22221230383690876","0.2567373198219698","","","0.6425969230450861"
"5","vanilla_nmf_fro","44","skipped_completed","0.22818858620547566","0.21765770480803964","0.23871946760291168","","","0.6369978650754792"
"5","vanilla_nmf_fro","45","skipped_completed","0.24256878627580203","0.22959788075330953","0.2555396917982945","","","0.662135275974429"
"5","vanilla_nmf_fro","46","skipped_completed","0.23308039675200365","0.2176593345887516","0.2485014589152557","","","0.6626295543298631"
"10","gnmf_graph","42","done","0.2519141350719962","0.2306290979487863","0.2731991721952061","64.4851903643071","152.42059117826312","0.6018741795560538"
"10","gnmf_graph","43","done","0.2569842202161056","0.23077741462191306","0.28319102581029815","63.720033434166005","148.36301535681838","0.5842424511878782"
"10","gnmf_graph","44","done","0.24612936797601181","0.22585499770533687","0.2664037382466868","66.91988867126263","151.5569343431629","0.5834413783717395"
"10","gnmf_graph","45","done","0.2577047085194695","0.2379153112815141","0.27749410575742495","63.957986739532394","149.68462594133746","0.5766732603416957"
"10","gnmf_graph","46","done","0.25067240531023816","0.22691381590622345","0.27443099471425286","63.50375599401954","153.84462789774398","0.5584520253973726"
"10","indep_nmf_procrustes_bridge","42","done","0.2100074557409377","0.19454849767315135","0.22546641380872404","75.74585821975057","162.2503824096104","0.837118560170271"
"10","indep_nmf_procrustes_bridge","43","done","0.21261651006339918","0.19664022079815374","0.22859279932864462","76.67016929195307","158.744251634611","0.9196028042436885"
"10","indep_nmf_procrustes_bridge","44","done","0.20628774688565088","0.19541796750942847","0.2171575262618733","78.20170768345174","162.98737984134448","0.840887039658171"
"10","indep_nmf_procrustes_bridge","45","done","0.2195835343104373","0.2080811935679149","0.23108587505295972","75.31002415683382","160.0620513904611","0.8219294445621929"
"10","indep_nmf_procrustes_bridge","46","done","0.20459151672771547","0.18641557149904484","0.22276746195638614","75.12320939815221","166.12285480740397","0.9197936273833855"
"10","recon_only_mvgsnmf","42","skipped_completed","0.24704462867505403","0.23005470218252938","0.2640345551675787","66.45456390210343","157.62141152560162","0.6287250343996276"
"10","recon_only_mvgsnmf","43","skipped_completed","0.2521069297093349","0.23000883379395906","0.2742050256247108","65.90003381626676","153.58114266417576","0.573173546724524"
"10","recon_only_mvgsnmf","44","skipped_completed","0.23949353092602077","0.22547494415298533","0.25351211769905624","69.11729780166861","157.6123541958274","0.620782638860158"
"10","recon_only_mvgsnmf","45","skipped_completed","0.2536836538503382","0.23641417210624088","0.27095313559443557","65.76796123971947","154.92067016066292","0.6203306382061315"
"10","recon_only_mvgsnmf","46","skipped_completed","0.2465190237180153","0.22578788094936691","0.26725016648666367","65.69653625440603","159.9139221072735","0.5945417690474474"
"10","sparse_nmf_l1","42","done","0.23273466212467647","0.21953834856455934","0.2459309756847936","70.72186832268324","156.80171555554384","0.6268352856808328"
"10","sparse_nmf_l1","43","done","0.23767496144327993","0.2190522383206074","0.2562976845659525","70.37090798692954","152.21612899338155","0.5967849563045945"
"10","sparse_nmf_l1","44","done","0.22559662404878034","0.2134511637671912","0.23774208433036945","73.66631342798668","156.67793653600546","0.6388350176935376"
"10","sparse_nmf_l1","45","done","0.2376931377884","0.22604658117152246","0.24933969440527753","69.9354347736215","153.54464468072538","0.6298481620532143"
"10","sparse_nmf_l1","46","done","0.23424820203597632","0.21438998974452556","0.2541064143274271","69.46983726112882","158.365165610059","0.594058636842354"
"10","vanilla_nmf_fro","42","skipped_completed","0.25045857094901364","0.22929848607773337","0.27161865582029393","","","0.6018741795560538"
"10","vanilla_nmf_fro","43","skipped_completed","0.2570905929949968","0.23090002079967503","0.2832811651903186","","","0.5842424511878783"
"10","vanilla_nmf_fro","44","skipped_completed","0.2453614525365837","0.22547928244041074","0.26524362263275664","","","0.5834413783717395"
"10","vanilla_nmf_fro","45","skipped_completed","0.2568431560865383","0.23702169764134773","0.27666461453172886","","","0.5766732603416957"
"10","vanilla_nmf_fro","46","skipped_completed","0.2501927410452025","0.22643659816981287","0.27394888392059213","","","0.5584520253973726"
"15","gnmf_graph","42","done","0.262137929520375","0.24000084138772362","0.2842750176530264","59.83297933057789","147.19993403616658","0.6975996243671935"
"15","gnmf_graph","43","done","0.26151938439977357","0.2393717729329725","0.2836669958665747","59.536029950144005","143.49903379474986","0.6650070782241916"
"15","gnmf_graph","44","done","0.25319701491313645","0.23413992700361233","0.27225410282266055","62.69776984957491","147.30001640836886","0.7386819625358325"
"15","gnmf_graph","45","done","0.26280941213486675","0.2446057268995162","0.28101309737021724","59.58001543434967","145.30712118703732","0.6998059629095409"
"15","gnmf_graph","46","done","0.2589936763050502","0.23732434707738123","0.28066300553271917","59.29317444849088","149.18624359928813","0.6956301557503033"
"15","indep_nmf_procrustes_bridge","42","done","0.21804351197924848","0.19376662777074682","0.24232039618775011","74.21766904877659","159.12305250446812","0.8458507717653584"
"15","indep_nmf_procrustes_bridge","43","done","0.20466251570012736","0.1728763676504391","0.23644866374981563","76.87926263194174","155.59539315651134","0.7340984476374596"
"15","indep_nmf_procrustes_bridge","44","done","0.19159501854700448","0.1661742139418716","0.21701582315213735","80.81537749927855","160.8292383153871","0.7352029333773624"
"15","indep_nmf_procrustes_bridge","45","done","0.21146756674429876","0.1870589311011315","0.235876202387466","76.25004260334805","159.2643609899983","0.7337004132679108"
"15","indep_nmf_procrustes_bridge","46","done","0.2006897758105768","0.16788509148558867","0.23349446013556494","75.92281732035364","162.52836745427553","0.7269164481793118"
"15","recon_only_mvgsnmf","42","skipped_completed","0.2540787688495274","0.23649063740206536","0.2716669002969894","63.216519028672","153.43685147550536","0.6995432732784919"
"15","recon_only_mvgsnmf","43","skipped_completed","0.26021813472004535","0.23625946578958962","0.2841768036505011","63.0349450977016","149.50123520643058","0.6687991000823199"
"15","recon_only_mvgsnmf","44","skipped_completed","0.24921759117967807","0.23222778742594927","0.26620739493340684","65.95890070893132","153.55502405839303","0.6867796008475079"
"15","recon_only_mvgsnmf","45","skipped_completed","0.2612164936406235","0.24276995725257033","0.2796630300286766","62.46383686043314","151.09763506370155","0.7446279568191218"
"15","recon_only_mvgsnmf","46","skipped_completed","0.25679959262473484","0.23464747769636735","0.2789517075531023","62.246235002125935","155.2658503316573","0.6727461105463864"
"15","sparse_nmf_l1","42","done","0.23568050889643383","0.22583148963999622","0.2455295281528714","67.04398151459422","151.86995868253334","0.6987661624920111"
"15","sparse_nmf_l1","43","done","0.24166245492721639","0.2256192130933292","0.25770569676110355","66.70893051829476","147.19576943658575","0.678877498450792"
"15","sparse_nmf_l1","44","done","0.23092006225144437","0.21971668053682403","0.24212344396606472","69.40767184811594","151.50763503249945","0.7392894717835815"
"15","sparse_nmf_l1","45","done","0.24207195722333658","0.2324821554604109","0.25166175898626225","66.13340529613427","148.92737482105838","0.7234923057264524"
"15","sparse_nmf_l1","46","done","0.24281159569493171","0.22479793058755057","0.26082526080231283","64.98547056078422","152.41970388472143","0.6876760533019842"
"15","vanilla_nmf_fro","42","skipped_completed","0.258630538977218","0.2383092559346303","0.27895182201980573","","","0.7097048506392222"
"15","vanilla_nmf_fro","43","skipped_completed","0.264400498878115","0.23856736750630392","0.2902336302499261","","","0.6706191516450202"
"15","vanilla_nmf_fro","44","skipped_completed","0.2528749435845792","0.23372433509064694","0.2720255520785115","","","0.7432652270101153"
"15","vanilla_nmf_fro","45","skipped_completed","0.26428476183023863","0.24472779681757512","0.2838417268429021","","","0.7020298524361007"
"15","vanilla_nmf_fro","46","done","0.26211468111162317","0.23746976890894056","0.2867595933143058","59.86346418391545","152.0182306430963","0.682097123976797"
"20","gnmf_graph","42","done","0.259171407362473","0.24434258420339372","0.2740002305215523","57.82990076681103","144.2587713460178","0.6996067657946567"
"20","gnmf_graph","43","done","0.2653885527757607","0.24443995783300365","0.28633714771851765","57.3250675075405","140.42836867499315","0.6763998624037988"
"20","gnmf_graph","44","done","0.25485927109014606","0.23876561671833746","0.2709529254619547","60.295552841256885","143.41638265705754","0.6920267892453509"
"20","gnmf_graph","45","done","0.26174421186371266","0.24841520287079416","0.2750732208566312","57.48418402443991","142.07796131404527","0.6952136195338126"
"20","gnmf_graph","46","done","0.2600229673839957","0.2433648888766817","0.27668104589130976","56.921747690561446","144.74497751291582","0.6787342319511628"
"20","indep_nmf_procrustes_bridge","42","done","0.21823313648418943","0.19569464569867356","0.2407716272697053","74.83148546073976","159.89488698790146","0.8131157991163892"
"20","indep_nmf_procrustes_bridge","43","done","0.2019080154924039","0.16387095117751968","0.2399450798072881","77.63447502447761","154.41739224538463","0.8771085809242457"
"20","indep_nmf_procrustes_bridge","44","done","0.18841961900990015","0.15415905692100576","0.22268018109879453","81.5157544440357","159.86564631573825","0.6523313951497834"
"20","indep_nmf_procrustes_bridge","45","done","0.20859900984665236","0.1776588418181584","0.2395391778751463","77.81884645179389","159.30115603614007","0.656744078496003"
"20","indep_nmf_procrustes_bridge","46","done","0.19473854045307143","0.15747420755173194","0.23200287335441092","76.55093125936621","161.89420399094513","0.7685118332517433"
"20","recon_only_mvgsnmf","42","skipped_completed","0.25462224830658453","0.24066851118764057","0.26857598542552846","61.82309760572515","150.83939588264786","0.6821981214197299"
"20","recon_only_mvgsnmf","43","skipped_completed","0.25725664246015995","0.23965357533843254","0.2748597095818873","61.84658367535463","147.35739958761482","0.6526867379840336"
"20","recon_only_mvgsnmf","44","skipped_completed","0.24873559316628818","0.23510295658553543","0.26236822974704094","64.44105981245734","151.0951186686948","0.7002143030788675"
"20","recon_only_mvgsnmf","45","skipped_completed","0.25986491075233564","0.24606904903664875","0.27366077246802256","61.08371026789777","149.09526302922706","0.6952855765417727"
"20","recon_only_mvgsnmf","46","skipped_completed","0.2562263265582326","0.23760714149808068","0.2748455116183845","60.74826281068914","152.50102925594817","0.6845704191178477"
"20","sparse_nmf_l1","42","done","0.23235606888440158","0.23189278808017696","0.2328193496886262","65.29361120215871","147.63552728104298","0.5836989866402333"
"20","sparse_nmf_l1","43","done","0.23444633543499782","0.23015756366612714","0.23873510720386848","65.38398707648987","144.1850540959549","0.37424364288164913"
"20","sparse_nmf_l1","44","done","0.2267485704540806","0.22338577743093546","0.23011136347722572","67.56541284462446","148.0039115679076","0.688882894344529"
"20","sparse_nmf_l1","45","done","0.2337942116988152","0.2357175033513093","0.23187092004632107","64.70465369892491","146.08935748258244","0.47583654673177644"
"20","sparse_nmf_l1","46","done","0.23563094849097246","0.22913783779108066","0.24212405919086427","63.58731447254819","149.08949961328585","0.5524438922541228"
"20","vanilla_nmf_fro","42","skipped_completed","0.2605339233622975","0.2436033702467358","0.27746447647785927","","","0.6729240465891656"
"20","vanilla_nmf_fro","43","skipped_completed","0.26278468022642026","0.2439689611850747","0.2816003992677658","","","0.6876806262114131"
"20","vanilla_nmf_fro","44","skipped_completed","0.25451764593098614","0.2383727691950423","0.2706625226669299","","","0.7073166968986047"
"20","vanilla_nmf_fro","45","skipped_completed","0.2639360189177829","0.24863202597818493","0.27924001185738084","","","0.6952136195338126"
"20","vanilla_nmf_fro","46","done","0.2607535589878619","0.242435840524827","0.27907127745089677","58.10140512262882","148.66211340915694","0.6787342319511627"
"25","gnmf_graph","42","done","0.2608018708545561","0.2474601181040924","0.2741436236050198","55.77260660378291","141.44863454527925","0.6368468344764522"
"25","gnmf_graph","43","done","0.26069964188899786","0.24666131788485846","0.2747379658931372","55.14635508754038","138.16478336593605","0.6358922504020402"
"25","gnmf_graph","44","done","0.2543851215616033","0.24132560894784352","0.2674446341753631","58.554042916290506","141.2415454814664","0.6533084750397046"
"25","gnmf_graph","45","done","0.2576575821765561","0.25142085406543335","0.2638943102876788","55.37204606626525","139.98157978324073","0.6661133741390789"
"25","gnmf_graph","46","done","0.2617929174542648","0.24578452849951082","0.27780130640901884","54.53678626685848","142.29804112567288","0.6397238986834853"
"25","indep_nmf_procrustes_bridge","42","done","0.20667139848019578","0.16985194145654642","0.2434908555038451","74.38210620886876","158.4194262534545","0.8164105544560664"
"25","indep_nmf_procrustes_bridge","43","done","0.20365748136522932","0.15947805188707648","0.24783691084338214","77.75955228924384","153.18442821679056","0.753600442425953"
"25","indep_nmf_procrustes_bridge","44","done","0.17609919303625665","0.13083627339471118","0.22136211267780212","80.93867466713013","159.5978460427228","0.6521088779058499"
"25","indep_nmf_procrustes_bridge","45","done","0.20210411551998664","0.16289574859693046","0.24131248244304282","78.14641849751047","156.96440205060318","0.7292613578153835"
