K,stage,active_losses,seed,valid_map_avg,sym2herb_map,herb2sym_map,symptom_pred_ppl_em_prob,herb_pred_ppl_em_prob,topic_coherence
5,05_recon_only_ph_ps_nonneg,recon_only,42,0.23388351888015724,0.22328516561280506,0.24448187214750938,75.39227427973445,164.84315259867032,0.615570276710742
5,05_recon_only_ph_ps_nonneg,recon_only,43,0.23877643209965582,0.2238218240197228,0.2537310401795888,74.56859182435278,160.40232656646745,0.5998151759022377
5,05_recon_only_ph_ps_nonneg,recon_only,44,0.22666678905484866,0.2183107052806802,0.23502287282901715,79.14722092823688,165.25073359241904,0.6013959974355275
5,05_recon_only_ph_ps_nonneg,recon_only,45,0.2407216511050405,0.23067785580899522,0.2507654464010858,75.29441130067877,161.14623221016984,0.5970569686921704
5,05_recon_only_ph_ps_nonneg,recon_only,46,0.231408766067189,0.21815987905304085,0.24465765308133713,75.23975503103749,167.98967015367853,0.5988896096803049
10,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",42,0.23167928326408335,0.21509327692342858,0.24826528960473812,64.67988270211977,157.31527356935328,0.7158409528285992
10,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",43,0.2272521762897004,0.20354148778778383,0.25096286479161695,63.46842838204482,154.59691344649974,0.7359633817283321
10,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",44,0.23029957964214642,0.21162016863003047,0.24897899065426235,66.71421415605181,157.0879630945134,0.7617123941344179
10,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",45,0.23981424241761728,0.22257451661838287,0.2570539682168517,64.01921012502567,153.965972433642,0.6983920518101067
10,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",46,0.23488087866983157,0.2131244842427415,0.25663727309692164,63.877799687946315,158.70794118068162,0.7016256208412979
10,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",42,0.23364229854723817,0.21703017143409956,0.2502544256603768,64.94264142343226,156.7793552346205,0.7244768874134697
10,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",43,0.2375725201139015,0.21671066928793467,0.2584343709398683,63.55010910576744,152.45639243210388,0.7326228883057128
10,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",44,0.231017502107279,0.21352176852633245,0.24851323568822556,66.92556915200676,157.99334169275923,0.7457858264485403
10,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",45,0.23639409701831932,0.21340667166049174,0.25938152237614687,64.21265193840027,153.98783880362416,0.6983920518101067
10,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",46,0.23423274064972968,0.21295609739909138,0.255509383900368,64.12621798220127,158.77905878738522,0.7314673418644613
10,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",42,0.23497753060092597,0.2173339487397632,0.25262111246208874,64.95426933119164,156.94263285200194,0.7427394986405128
10,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",43,0.2400900673275441,0.21593402613738272,0.26424610851770547,63.472405556071216,152.88877934695586,0.7326228883057126
10,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",44,0.22274624873033091,0.20303004994575835,0.24246244751490348,66.99779390262586,158.05034350972429,0.713947593452506
10,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",45,0.23899659600947148,0.21808217186250117,0.2599110201564418,64.17878340191892,154.32687698997205,0.6983920518101067
10,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",46,0.21617537371875026,0.18771199609162773,0.2446387513458728,63.982837435672536,161.96406475295345,0.737594528842499
10,03_active_graph_h__graph_s,"graph_h,graph_s",42,0.2426513035623311,0.2172447534480438,0.26805785367661844,64.09703172662115,156.26705720951017,0.520674615705315
10,03_active_graph_h__graph_s,"graph_h,graph_s",43,0.24705464355205803,0.22079277422378163,0.27331651288033443,62.82049689709566,149.847607855025,0.6699441607988607
10,03_active_graph_h__graph_s,"graph_h,graph_s",44,0.24111707330842885,0.21719581722772582,0.26503832938913185,66.2975568433211,154.8827295480927,0.6072591015824161
10,03_active_graph_h__graph_s,"graph_h,graph_s",45,0.22338006413245715,0.2070619860063566,0.2396981422585577,63.585400525106216,154.94021013934446,0.6512067188328572
10,03_active_graph_h__graph_s,"graph_h,graph_s",46,0.24332515364956836,0.21680851381769686,0.2698417934814399,63.12375059962821,156.92681956428453,0.6630381907582932
10,04_active_graph_h,graph_h,42,0.1905616901238498,0.15602552949902831,0.22509785074867128,65.00300750225882,162.28939473234703,0.5226522878783966
10,04_active_graph_h,graph_h,43,0.23776592899113086,0.2147031366228838,0.2608287213593779,63.068789705851266,155.03434574159982,0.6149975449913883
10,04_active_graph_h,graph_h,44,0.18610238508247862,0.15149051214345027,0.220714258021507,67.60375193628133,163.0177905475469,0.5926881731142839
10,04_active_graph_h,graph_h,45,0.19505777456740025,0.1612314579604424,0.22888409117435815,64.29646052198738,158.73940622999183,0.6446907652515014
10,04_active_graph_h,graph_h,46,0.18732436428814978,0.1506301739138375,0.22401855466246204,63.970116284982986,165.06161273821394,0.6389801102952484
10,05_recon_only_ph_ps_nonneg,recon_only,42,0.24784261866261814,0.23024085602986494,0.26544438129537135,66.75928291838729,157.31488207331108,0.5938216343106715
10,05_recon_only_ph_ps_nonneg,recon_only,43,0.252368894098832,0.23000679762399828,0.27473099057366573,66.36121955851493,153.47609009626203,0.5766172067995501
10,05_recon_only_ph_ps_nonneg,recon_only,44,0.24211531449677687,0.22593688176466206,0.2582937472288917,69.32231874541698,157.11439073818298,0.5716741034060855
10,05_recon_only_ph_ps_nonneg,recon_only,45,0.25492565938254425,0.23741480423300745,0.27243651453208106,66.03428597803352,154.69401796594113,0.5948412667843669
10,05_recon_only_ph_ps_nonneg,recon_only,46,0.24718232753844147,0.2259551691219327,0.26840948595495023,65.95650299213852,159.58093772535096,0.5496577714408473
15,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",42,0.2535867578662344,0.2303779710026638,0.27679554472980505,60.09894516738774,151.44703364686941,0.7926255139672859
15,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",43,0.25173274376874005,0.2285320793895509,0.2749334081479292,59.80724273331592,145.89313356426996,0.7738120123806502
15,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",44,0.24414912221445345,0.22349142868244284,0.26480681574646403,62.62141189085931,150.94797121412938,0.7909785897975367
15,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",45,0.2380872403342377,0.21363772548109877,0.2625367551873766,59.262255203791035,148.13550504642527,0.8406866356912364
15,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",46,0.23707623423104196,0.20439259697893739,0.2697598714831465,59.44976306426946,152.5553420106869,0.7789272245932213
15,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",42,0.24010302317357018,0.2133449340322066,0.26686111231493376,60.35294967071212,151.5405193224773,0.7775275139207284
15,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",43,0.2436928404323282,0.20520316938156977,0.28218251148308665,59.84176912852891,147.81552157173422,0.7655369154576678
15,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",44,0.2479713961297847,0.22373297509178866,0.2722098171677807,62.59534784934296,150.61499389731043,0.8154601106954591
15,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",45,0.2518017254680531,0.23406349497810092,0.26953995595800523,59.359939512970726,147.7760438513078,0.8313568878407929
15,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",46,0.25423250228379535,0.22672690349649108,0.28173810107109964,59.44750556027598,151.600218981997,0.7597516840056215
15,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",42,0.2466917596186305,0.21798050958539286,0.27540300965186815,60.29842653756644,152.71409738608088,0.7666021858067407
15,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",43,0.2347477064513355,0.20498108411294758,0.2645143287897234,59.76897678147657,147.80628434958174,0.7764630783349726
15,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",44,0.22336431921737776,0.1937799402777247,0.25294869815703086,62.689480528880694,153.26586048526627,0.8226615705134803
15,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",45,0.25749698106687713,0.23331919491240116,0.28167476722135304,59.32298901496982,148.58743715278135,0.8134576732888611
15,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",46,0.25494472930852147,0.22638756882196956,0.28350188979507335,59.53859527783442,151.9463423206852,0.7654670973418521
15,03_active_graph_h__graph_s,"graph_h,graph_s",42,0.2547033305590194,0.2302749464989358,0.27913171461910297,59.92783039299025,149.15801658072593,0.7642254092215857
15,03_active_graph_h__graph_s,"graph_h,graph_s",43,0.2573725673616016,0.22924161358035286,0.2855035211428503,59.75434807673745,146.7574791659131,0.7643355619931688
15,03_active_graph_h__graph_s,"graph_h,graph_s",44,0.24263385505866175,0.22340551049215027,0.26186219962517326,62.556934540093415,150.468290149314,0.7839129149797462
15,03_active_graph_h__graph_s,"graph_h,graph_s",45,0.23923090912791284,0.2193650559899293,0.25909676226589634,59.401296045494696,148.26017455504146,0.813792327149359
15,03_active_graph_h__graph_s,"graph_h,graph_s",46,0.2513770366247076,0.22645553536451404,0.27629853788490116,59.23014664912917,152.7937840936322,0.7087410806410094
15,04_active_graph_h,graph_h,42,0.2322074038555306,0.19436731998025802,0.27004748773080317,59.95709656972906,153.38957309189607,0.6817973369475355
15,04_active_graph_h,graph_h,43,0.2181435251796424,0.20015064823264425,0.23613640212664053,60.22507956810062,154.09455608159797,0.7503690056038193
15,04_active_graph_h,graph_h,44,0.23758523320309793,0.20350211735682897,0.27166834904936693,63.746612752391094,152.70279851713005,0.7484245041373929
15,04_active_graph_h,graph_h,45,0.200091332652051,0.15915352190847903,0.24102914339562298,60.46315221497426,156.75945332529392,0.7642951120760181
15,04_active_graph_h,graph_h,46,0.20858344177386454,0.17841432175778976,0.2387525617899393,60.462473275534606,159.8937500041259,0.758777215818473
15,05_recon_only_ph_ps_nonneg,recon_only,42,0.25553109793384987,0.23672301169365778,0.27433918417404196,63.455479086106614,153.27189694518708,0.7007789412948953
15,05_recon_only_ph_ps_nonneg,recon_only,43,0.2602182961632711,0.23657524642531208,0.2838613459012301,63.21921175559305,149.55846138589052,0.6868718841178202
15,05_recon_only_ph_ps_nonneg,recon_only,44,0.24984861235781253,0.23235831149967454,0.26733891321595055,66.06246146903948,153.39414800340148,0.7160690268704877
15,05_recon_only_ph_ps_nonneg,recon_only,45,0.2625271033092891,0.24292958055560254,0.28212462606297556,62.651461674273875,150.94415708941125,0.7333619807838598
15,05_recon_only_ph_ps_nonneg,recon_only,46,0.25638213273287624,0.2348596451359454,0.27790462032980706,62.59160877243714,155.4924545382795,0.7009535716824896
20,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",42,0.24952991720705336,0.23446179166371853,0.26459804275038823,58.15357384983332,146.85623749530885,0.7514551961051502
20,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",43,0.25709128466219044,0.2340011190708418,0.28018145025353913,57.36395575304216,144.06812186876243,0.7607109965393801
20,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",44,0.23655371886984455,0.20687644460033508,0.26623099313935406,60.5607404351657,149.40530649927496,0.7694577435990165
20,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",45,0.2481264146591784,0.23774967240407568,0.2585031569142811,57.664350670705694,145.20388380306548,0.7896910543203253
20,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",46,0.254678754726925,0.23114295564130863,0.27821455381254145,57.15957948381535,148.63341766955486,0.7555847287864045
20,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",42,0.25162848064162097,0.23357241589346125,0.2696845453897807,58.144809817506925,147.3329445366914,0.7544544611048765
20,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",43,0.25571686847019576,0.23340009586761892,0.27803364107277256,57.404349885426164,143.74669178636287,0.7590407498280703
